architecture,architect,year,city,country,continent,latitude,longitude
Colosseum,unknown,80 AD,Roma RM,Italy,Europe,41.8904418,12.4922309
Pantheon,unknown,125 AD,Roma RM,Italy,Europe,41.89915205,12.47691274
Buckingham_Palace,"John Nash, William Winde, Thomas Cubitt, Aston Webb, Edward Blore",1705,London,United Kingdom,Europe,51.50147752,-0.1418470863
Hagia_Sophia,"Isidore of Miletus, Anthemius of Tralles",537 AD,İstanbul,Turkey,Europe,41.00876109,28.98026083
Space_Needle,"John “Jack” Graham, Jr. fresh",1962,"Seattle, WA",United States,Europe,47.62067984,-122.3493418
La_Sagrada_Familia,Antoni Gaudí,2010,Barcelona,Spain,Europe,41.40384716,2.174377256
Cathedral_of_Brasilia,Oscar Niemeyer ,1970,Brasília,Brazil,South America,-15.79813542,-47.87557159
The_White_House,James Hoban,1792,"Washington, DC",United States,North America,38.89791008,-77.03658345
Empire_State_Building,"William F. Lamb, Arthur Loomis Harmon, Yasuo Matsui, Gregory Johnson",1930,"New York, NY",United States,North America,40.74861117,-73.98569659
Lloyd's_Building,"Richard Rogers, Mike Davies, Ivan Harbour",1978,London,United Kingdom,Europe,51.5128575,-0.08228543052
Petronas_Twin_Towers,César Pelli,1993,Kuala Lumpur,Malaysia,Asia,3.158227711,101.7117923
Potala_Palace,"5th Dalai Lama, Songtsen Gampo",1649,Tibet,China,Asia,29.65575524,91.11852555
The_Moscow_Kremlin,"Marcus Ruffus, Petrus Antonius Solarius",1495,Moscow,Russia,Europe,55.7521863,37.6174994
Stonehenge,unknown,Bronze Age,Salisbury SP4 7DE,United Kingdom,Europe,51.17968152,-1.826199222
Cologne_Cathedral,"Master Gerhard, Ernst Friedrich Zwirner",1322,Köln,Germany,Europe,50.94142035,6.958259941
Dome_of_the_Rock,"Raja ibn Haywa, Yazid Ibn Salam",1023,Jerusalem,Israel,Asia,31.77817277,35.23545992
Chrysler_Building,William Van Alen,1930,"New York City, NY",United States,North America,40.75175895,-73.97544836
Burj_Khalifa,"Adrian Smith, George J. Efstathiou, Marshall Strabala",2010,Dubai,United Arab Emirates,Asia,25.19742027,55.27440858
Maison_Citröhan,Le Corbusier,1927,Paris,Germany,Europe,48.85200923,2.2654375
Villa_Mairea,Alvar Aalto,1939,Noormarkku,Finland,Europe,61.59753577,21.8744043
Falling_Water,Frank Lloyd Wright,1964,"Mill Run, PA",United States,North America,39.90644437,-79.46780912
Utalitarian_Church,Frank Lloyd Wright,1951,"Chicago, IL",United States,North America,43.07573635,-89.43541336
Indian_Institute_of_Management_A,Louis I. Kahn,1974,"Ahmedabad, Gujarat",India,Asia,23.03321387,72.53282394
Nationa__Assembly_in_Dhaka,Louis I. Kahn,1982,Dhaka,Bangladesh,Asia,23.76268201,90.37852745
The_Trenton_Bath,Louis I. Kahn,1955,"Ewing Township, NJ",United States,North America,40.25984557,-74.79879376
Philip_Exter_Library,Louis I. Kahn,1972,"Exeter, NH",United States,North America,42.98126706,-70.95172262
Fisher_House,Louis I. Kahn,1964,"Hatboro, PA",United States,North America,40.1670931,-75.1083966
Margaret_Esherick_House,Louis I. Kahn,1959,"Philadelphia, PA",United States,North America,40.11152395,-75.21060934
Neue_Nationalgalerie,Ludwig Mies van der Rohe,1968,Berlin,Germany,Europe,52.50711865,13.36764691
860-880_Lake_Shore_Drive,Ludwig Mies van der Rohe,1949,"Chicago, IL",United States,North America,41.89924899,-87.61884501
Voya_Financial_20_Washington,Minoru Yamasaki and Associates,1965,"Minneapolis, MN",United States,North America,44.98247295,-93.2668441
CITIC_Tower(China Zun),Kohn Pedersen Fox,2018,Beijing,China,Asia,39.91284102,116.4637365
Beijing_National_Stadium,Herzog and de Meuron,2008,Beijing,China,Asia,39.99310747,116.3965005
CCTV_Headquarters,"Rem Koolhaas (OMA), Ole Scheeren",2012,Beijing,China,Asia,39.91543143,116.4642097
Jin_Mao_Tower,Adrian Smith,1999,Shanghai,China,Asia,31.23569182,121.5057491
Himalayas_Center,Arata Isozaki,2012,Shanghai,China,Asia,31.21038378,121.5619361
First_Unity_Temple,Frank Lloyd Wright,1908,"Oak Park, IL",United States,North America,41.88848405,-87.7966513
Shanghai_World_Financial_Center,Kohn Pedersen Fox,2008,Shanghai,China,Asia,31.23464115,121.5078587
TAIPEI_101,C.Y. Lee & Partners,2004,Taipei,Taiwan,Asia,25.03410543,121.5645883
The_Canton_Tower,"Mark Hemel, Barbara Kuit",2010,Guangzhou,China,Asia,23.10807236,113.3404147
Oriental_Pearl_TV_Tower,"Jia Huan Cheng, Zhang Xiulin, Lin Benlin",1994,Shanghai,China,Asia,31.23997325,121.4998411
Harbin_Grand_Theatre,Ma Yansong,2015,Harbin,China,Asia,45.80669841,126.5776911
Tiantan(Temple_of_Heaven),unknown,1420,Beijing,China,Asia,39.88143767,116.4191967
Foridden_City,Ruan An,1420,Beijing,China,Asia,39.91713975,116.3906705
Eiffel_Tower,"Stephen Sauvestre, Maurice Koechlin, Émile Nouguier",1889,Paris,France,Europe,48.85849714,2.294481298
Hanging Temple,unknown,491 AD,"Hunyuan County, Datong",China,Asia,39.65949555,113.7120585
Itsukushima Shrine,unknown,593 AD,"Miyajimacho, Hatsukaichi, Hiroshima",Japan,Asia,34.29610481,132.3198929
Kiyomizu-dera,unknown,778 AD,"Higashiyama Ward, Kyoto",Japan,Asia,34.99500549,135.7849927
Arc de Triomphe,"Jean Chalgrin, Jean-Arnaud Raymond",1836,Paris,France,Europe,48.87399632,2.295038227
Tōdai-ji,Emperor Shōmu,728 AD,"Zoshicho, Nara",Japan,Asia,34.68915269,135.8398265
Big_Ben,"Augustus Pugin, Charles Barry",1859,London,United Kingdom,Europe,51.50085608,-0.1245824863
Weissenhofmuseum im Haus,Le Corbusier,1927,Stuttgart,,,48.80007549,9.1778249
Saint_Basil's_Cathedral,"ostnik Yakovlev, Ivan Barma",1561,"Red Square, Moscow",Russia,Asia,55.7526376,37.62312971
Notre_Dame_de_Paris,"Pierre de Montreuil, Jean-Baptiste-Antoine Lassus",1345,Paris,France,Europe,48.85315879,2.349955742
San_Francisco_Art_Museum,Mario Botta,1935,"San Francisco, CA",United States,North America,37.78589624,-122.4010615
Burj_Al_Arab,Tom Wright,1994,Dubai,Emirates,Asia,25.14134603,55.18524116
Casa_Rotonda_Stabio,Mario Botta,1982,Stabio,Switzerland,Europe,45.85486743,8.93291271
Church_of_God_the_Merciful_Father,Richard Meier,2003,Roma RM,Italy,Europe,41.88252905,12.58560587
Chiesa_Seriate,Mario Botta,2004,Seriate BG,Italy,Europe,45.68001796,9.710181571
Church_of_Santo_Volto,Mario Botta,2006,Torino TO,Italy,Europe,45.09342811,7.661422327
Deutsches_Historisches_Museum,I.M.Pei,1987,Berlin,Germany,North America,52.51826287,13.39667095
East_Building_National_Gallery_of_Art,I.M.Pei,1978,"Washington, DC",United States,North America,38.89142205,-77.01708529
Angkor_Wat,King Suryavarman II,Early 12th Century,Krong Siem Reap,Cambodia,Asia,13.41267801,103.8669321
Bank_of_China_Tower,I.M.Pei,1990,Hong Kong,China,Asia,22.27955248,114.1615038
Great_Sphinx_of_Giza,unknown,2500 B.C,Giza Governorate,Egypt,Africa,29.97545456,31.13753521
Acropolis_of_Athens,unknown,5th Century B.C,Athens,Greece,Europe,37.97172681,23.72584576
Machu_Picchu,unknown,1450 AD,Andes Mountains,Peru,South America,-13.1629218,-72.54493072
Green_Building_MIT,I.M.Pei,1964,"Cambridge, MA",United States,North America,42.3605149,-71.08926116
Moai,unknown,1650 AD,"Easter Island, Valparaíso",Chile,South America,-24.29378103,-108.4515929
Douglas_House,Richard Meier,1973,"Harbor Springs, MI",United States,North America,45.50138155,-85.09786573
Porto_House（Casa_da_Musica）,Rem Koolhaas,2005,Porto,Portugal,Europe,41.15907484,-8.630642358
