architecture,latitude,longitude,city,country,continent,architect,year
Stahl_House,34.10078192,-118.3703326,"West Hollywood, CA",United States,North America,Pierre Koenig,
The_Breuer_Building_(Whitney_Museum_of_American_Art),40.73980716,-74.0088629,"New York City, NY",United States,North America,"Marcel Breuer, Renzo Piano",
Rooftop_Remodeling_Falkestrasse,48.20858793,16.38082626,1010 Wien,Austria,Europe,COOP HIMMELB(L)AU,
Larkin_Company_Administration_Building,42.87672079,-78.8521345,"Buffalo, NY",United States,North America,Frank Lloyd Wright ,
Fiat_Works (Lingotto Parcheggio),45.03291121,7.662848688,Torino TO,Italy,Europe,Giacomo Matté-Trucco,1920 - 1923
Villa_Müller,50.09262009,14.37839788,Prague,Czech Republic,Europe,Adolf Loos,
Van_Nelle_Factory,51.92327156,4.434134958,Rotterdam,Netherlands,Europe,"Leendert van der Vlugt, Johannes Brinkman",
Dymaxion_House,42.30367346,-83.23417372,"Dearborn, MI",United States,North America,Buckminster Fuller,
Querini_Stampalia_Renovation,45.4365945,12.34113714,Venezia VE,Italy,Europe,Carlo Scarpa,
House_VI,41.83290684,-73.32142354,"Cornwall, CT",United States,North America,Peter Eisenman,
Beurs_van_Berlage,52.37525212,4.896278587,Amsterdam,Netherlands,Europe,Beurs van Berlage,
Gamble_House,34.15182375,-118.1609311,"Pasadena, CA",United States,North America,"Henry Mather Greene, Charles Sumner Greene",
Lovell_Beach_House,33.60617316,-117.9176351,"Newport Beach, CA",United States,North America,Rudolph Schindler,
Turin_Exhibition_Hall,45.07742872,7.682805699,Torino TO,Italy,Europe,Massimiliano Fuksas,
"Municipal_Orphanage,Amsterdam",52.34097283,4.855760827,Amsterdam,Netherlands,Europe,Aldo van Eyck,
Carpenter_Center_for_the_Visual_Arts,42.3738752,-71.11450009,"Cambridge, MA",United States,North America,"Josep Lluís Sert, Le Corbusier",
Free_University_of_Berlin,52.45446832,13.29346607,Berlin,Germany,Europe,"Candilis, Josic, Woods and Schiedhelm",
Bagsverd_Church,55.76192879,12.4439722,Bagsværd,Denmark,Europe,Jørn Utzon,
SESC_Pompéia,-23.52589467,-46.68332257,São Paulo,Brazil,South America,Lina Bo Bardi,
